Geography,Density
District of Columbia,11814.541
New Jersey,1215.1991
Rhode Island,1021.4323
Massachusetts,894.4355
Connecticut,735.8689
Maryland,626.6731
Delaware,504.3073
New York,412.5211
Florida,410.1256
Ohio,287.5038
Pennsylvania,286.5449
California,256.3727
Illinois,228.0243
Hawaii,219.9419
Virginia,218.4403
North Carolina,218.2702
Indiana,188.281
Georgia,186.6719
Michigan,177.6655
South Carolina,173.3174
Tennessee,167.2748
New Hampshire,153.1605
Washington,117.3272
Kentucky,113.9566
Texas,112.8204
Wisconsin,108.0497
Louisiana,107.5175
Alabama,96.9221
Missouri,89.7453
West Virginia,73.9691
Minnesota,71.5922
Vermont,68.1416
Arizona,64.955
Mississippi,63.7056
Arkansas,58.403
Oklahoma,57.6547
Iowa,56.9284
Colorado,56.4011
Oregon,44.8086
Maine,43.6336
Utah,39.943
Kansas,35.5968
Nevada,28.5993
Nebraska,25.4161
Idaho,22.0969
New Mexico,17.285
South Dakota,11.9116
North Dakota,11.0393
Montana,7.4668
Wyoming,5.84
Alaska,1.2863
